频道检测报告 | 时间: 2026-03-06 10:20:49.087694
🟢 [有效] CCTV-16 4K      | 耗时: 1.3s
🟢 [有效] CCTV-11高清       | 耗时: 3.93s
🟢 [有效] CCTV-16 4K      | 耗时: 1.16s
🟢 [有效] CCTV-12高清 (CAVS) | 耗时: 4.17s
🟢 [有效] CCTV-16 4K      | 耗时: 1.23s
🟢 [有效] CCTV-16 4K      | 耗时: 1.19s
🟢 [有效] CCTV-16 4K      | 耗时: 1.1s
🟢 [有效] CCTV-15高清       | 耗时: 1.84s
🟢 [有效] CCTV-16 4K      | 耗时: 1.12s
🟢 [有效] CCTV-16 4K      | 耗时: 1.15s
🟢 [有效] CCTV-15高清       | 耗时: 2.03s
🟢 [有效] CCTV-16 4K      | 耗时: 1.19s
🟢 [有效] CCTV-16 4K      | 耗时: 1.98s
🟢 [有效] CCTV-16 4K      | 耗时: 1.15s
🟢 [有效] CCTV-16 4K      | 耗时: 1.99s
🟢 [有效] CCTV-10高清       | 耗时: 4.82s
🟢 [有效] CCTV-14高清       | 耗时: 3.64s
🟢 [有效] CCTV-16 4K      | 耗时: 1.3s
🟢 [有效] CCTV-16高清       | 耗时: 1.15s
🟢 [有效] CCTV-16高清       | 耗时: 1.2s
🔴 [失效] CCTV-12高清       | 无法获取视频流
🟢 [有效] CCTV-16高清       | 耗时: 1.17s
🟢 [有效] CCTV-16高清       | 耗时: 1.11s
🟢 [有效] CCTV-16高清       | 耗时: 1.17s
🟢 [有效] CCTV-12高清测试     | 耗时: 5.19s
🟢 [有效] CCTV-16高清       | 耗时: 1.15s
🟢 [有效] CCTV-16高清       | 耗时: 1.13s
🔴 [失效] CCTV-10高清 (CAVS) | 无法获取视频流
🔴 [失效] CCTV-10高清 (CAVS) | 无法获取视频流
🟢 [有效] CCTV-17农业高清     | 耗时: 1.13s
🔴 [失效] CCTV-10高清       | 无法获取视频流
🔴 [失效] CCTV-10高清       | 无法获取视频流
🔴 [失效] CCTV-10高清测试(CCTV-10科教高清) | 无法获取视频流
🔴 [失效] CCTV-10高清测试(CCTV-10科教高清) | 无法获取视频流
🔴 [失效] CCTV-10高清 (CAVS) | 无法获取视频流
🔴 [失效] CCTV-10高清测试(CCTV-10科教高清) | 无法获取视频流
🔴 [失效] CCTV-12高清 (CAVS) | 无法获取视频流
🔴 [失效] CCTV-11高清       | 无法获取视频流
🔴 [失效] CCTV-11高清       | 无法获取视频流
🔴 [失效] CCTV-12高清 (CAVS) | 无法获取视频流
🔴 [失效] CCTV-11高清       | 无法获取视频流
🔴 [失效] CCTV-12高清 (CAVS) | 无法获取视频流
🔴 [失效] CCTV-10高清       | 无法获取视频流
🔴 [失效] CCTV-12高清       | 无法获取视频流
🔴 [失效] CCTV-12高清       | 无法获取视频流
🔴 [失效] CCTV-11高清       | 无法获取视频流
🔴 [失效] CCTV-12高清       | 无法获取视频流
🔴 [失效] CCTV-12高清测试     | 无法获取视频流
🔴 [失效] CCTV-12高清       | 无法获取视频流
🔴 [失效] CCTV-12高清测试     | 无法获取视频流
🔴 [失效] CCTV-10高清测试(CCTV-10科教高清) | 无法获取视频流
🔴 [失效] CCTV-12高清       | 无法获取视频流
🔴 [失效] CCTV-12高清测试     | 无法获取视频流
🔴 [失效] CCTV-13高清       | 无法获取视频流
🔴 [失效] CCTV-12高清测试     | 无法获取视频流
🔴 [失效] CCTV-12高清       | 无法获取视频流
🔴 [失效] CCTV-13高清       | 无法获取视频流
🔴 [失效] CCTV-13高清       | 无法获取视频流
🔴 [失效] CCTV-12高清 (CAVS) | 无法获取视频流
🔴 [失效] CCTV-13高清       | 无法获取视频流
🔴 [失效] CCTV-12高清测试     | 无法获取视频流
🔴 [失效] CCTV-12高清       | 无法获取视频流
🟢 [有效] CCTV-10高清 (CAVS) | 耗时: 5.76s
🔴 [失效] CCTV-12高清测试     | 无法获取视频流
🟢 [有效] CCTV-16 4K      | 耗时: 2.46s
🔴 [失效] CCTV-11高清       | 无法获取视频流
🟢 [有效] CCTV-17农业高清     | 耗时: 1.16s
🔴 [失效] CCTV-1高清        | 无法获取视频流
🟢 [有效] CCTV-17农业高清     | 耗时: 1.15s
🔴 [失效] CCTV-1高清        | 无法获取视频流
🟢 [有效] CCTV-17农业高清     | 耗时: 1.16s
🟢 [有效] CCTV-17农业高清     | 耗时: 1.12s
🟢 [有效] CCTV-17农业高清     | 耗时: 1.93s
🟢 [有效] CCTV-1超清        | 耗时: 1.21s
🟢 [有效] CCTV-16高清       | 耗时: 2.11s
🟢 [有效] CCTV-1超清        | 耗时: 1.2s
🟢 [有效] CCTV-1超清        | 耗时: 1.1s
🟢 [有效] CCTV-14高清       | 耗时: 5.32s
🟢 [有效] CCTV-1高清(CCTV -1综合高清) | 耗时: 1.1s
