
📺央视频道,#genre#
CCTV-3,http://59.35.152.62:8889/rtp/239.77.0.175:5146
CCTV-3,http://14.118.74.55:10001/rtp/239.77.0.169:5146
CCTV-3,http://113.78.253.186:8888/rtp/239.77.0.175:5146
CCTV-3,http://113.78.253.186:8888/rtp/239.77.0.169:5146
CCTV-3,http://14.117.232.247:4022/rtp/239.77.0.169:5146
CCTV-4,http://113.110.202.93:55555/rtp/239.77.0.78:5146
CCTV-4,http://113.89.245.247:4200/rtp/239.77.1.163:5146
CCTV-4,http://113.120.108.132:4000/udp/239.21.1.154:5002
CCTV-4,http://59.35.152.62:8889/rtp/239.77.0.78:5146
CCTV-4,http://14.117.232.247:4022/rtp/239.77.0.78:5146
CCTV-4,http://14.118.74.55:10001/rtp/239.77.0.78:5146
CCTV-4,http://183.30.201.174:10002/rtp/239.77.0.78:5146
CCTV-4,http://113.110.202.93:55555/rtp/239.77.1.163:5146
CCTV-4,http://113.102.83.19:4022/rtp/239.77.0.78:5146
CCTV-4,http://59.35.152.62:8889/rtp/239.77.1.163:5146
CCTV-4,http://113.89.245.247:4200/rtp/239.77.0.78:5146
CCTV-4,http://14.118.74.55:10001/rtp/239.77.1.163:5146
CCTV-4,http://113.101.244.40:10000/rtp/239.77.0.78:5146
CCTV-4,http://113.102.83.19:4022/rtp/239.77.1.163:5146
CCTV-4,http://183.30.201.174:10002/rtp/239.77.1.163:5146
CCTV-4,http://183.7.146.16:8888/rtp/239.77.0.78:5146
CCTV-4,http://113.78.253.186:8888/rtp/239.77.0.78:5146
CCTV-4,http://113.101.244.40:10000/rtp/239.77.1.163:5146
CCTV-4,http://113.78.253.186:8888/rtp/239.77.1.163:5146
CCTV-4,http://183.31.11.209:8000/rtp/239.77.1.163:5146
CCTV-4,http://113.95.132.166:554/rtp/239.77.0.78:5146
CCTV-5,http://59.35.152.62:8889/rtp/239.77.0.170:5146
CCTV-5,http://113.102.83.19:4022/rtp/239.77.0.170:5146
CCTV-5,http://113.110.202.93:55555/rtp/239.77.0.170:5146
CCTV-5,http://113.110.202.93:55555/rtp/239.77.0.177:5146
CCTV-5,http://113.89.245.247:4200/rtp/239.77.0.177:5146
CCTV-5,http://14.118.74.55:10001/rtp/239.77.0.170:5146
CCTV-5,http://183.30.201.174:10002/rtp/239.77.0.170:5146
CCTV-5,http://113.102.83.19:4022/rtp/239.77.0.177:5146
CCTV-5,http://113.89.245.247:4200/rtp/239.77.0.170:5146
CCTV-5,http://113.101.244.40:10000/rtp/239.77.0.170:5146
CCTV-5,http://59.35.152.62:8889/rtp/239.77.0.177:5146
CCTV-5,http://113.101.244.40:10000/rtp/239.77.0.177:5146
CCTV-5,http://14.117.232.247:4022/rtp/239.77.0.170:5146
CCTV-5,http://113.120.108.132:4000/udp/239.21.2.46:5002
CCTV-5,http://113.78.253.186:8888/rtp/239.77.0.170:5146
CCTV-5,http://113.78.253.186:8888/rtp/239.77.0.177:5146
CCTV-5,http://14.118.74.55:10001/rtp/239.77.0.177:5146
CCTV-5,http://14.117.232.247:4022/rtp/239.77.0.177:5146
CCTV-5,http://183.0.203.228:9999/rtp/239.77.0.170:5146
CCTV-5+,http://14.118.74.55:10001/rtp/239.77.0.87:5146
CCTV-5+,http://113.110.202.93:55555/rtp/239.77.1.31:5146
CCTV-5+,http://14.118.74.55:10001/rtp/239.77.1.31:5146
CCTV-5+,http://113.102.83.19:4022/rtp/239.77.0.87:5146
CCTV-5+,http://113.120.108.132:4000/udp/239.21.1.142:5002
CCTV-5+,http://183.30.201.174:10002/rtp/239.77.0.87:5146
CCTV-5+,http://113.110.202.93:55555/rtp/239.77.0.87:5146
CCTV-5+,http://113.89.245.247:4200/rtp/239.77.0.87:5146
CCTV-5+,http://113.89.245.247:4200/rtp/239.77.1.31:5146
CCTV-5+,http://14.117.232.247:4022/rtp/239.77.1.31:5146
CCTV-5+,http://113.101.244.40:10000/rtp/239.77.0.87:5146
CCTV-5+,http://59.35.152.62:8889/rtp/239.77.1.31:5146
CCTV-5+,http://113.101.244.40:10000/rtp/239.77.1.31:5146
CCTV-5+,http://183.0.203.228:9999/rtp/239.77.1.31:5146
CCTV-5+,http://113.102.83.19:4022/rtp/239.77.1.31:5146
CCTV-5+,http://59.35.152.62:8889/rtp/239.77.0.87:5146
CCTV-5+,http://113.78.253.186:8888/rtp/239.77.0.87:5146
CCTV-5+,http://183.7.146.16:8888/rtp/239.77.0.87:5146
CCTV-5+,http://113.78.253.186:8888/rtp/239.77.1.31:5146
CCTV-6,http://14.118.74.55:10001/rtp/239.77.0.178:5146
CCTV-6,http://59.35.152.62:8889/rtp/239.77.0.171:5146
CCTV-6,http://113.110.202.93:55555/rtp/239.77.0.171:5146
CCTV-6,http://14.118.74.55:10001/rtp/239.77.0.171:5146
CCTV-6,http://59.35.152.62:8889/rtp/239.77.0.178:5146
CCTV-6,http://113.89.245.247:4200/rtp/239.77.0.178:5146
CCTV-6,http://113.102.83.19:4022/rtp/239.77.0.171:5146
CCTV-6,http://113.101.244.40:10000/rtp/239.77.0.171:5146
CCTV-6,http://113.101.244.40:10000/rtp/239.77.0.178:5146
CCTV-6,http://14.117.232.247:4022/rtp/239.77.0.178:5146
CCTV-6,http://113.102.83.19:4022/rtp/239.77.0.178:5146
CCTV-6,http://113.110.202.93:55555/rtp/239.77.0.178:5146
CCTV-6,http://183.7.146.16:8888/rtp/239.77.0.171:5146
CCTV-6,http://113.78.253.186:8888/rtp/239.77.0.171:5146
CCTV-6,http://113.78.253.186:8888/rtp/239.77.0.178:5146
CCTV-6,http://113.89.245.247:4200/rtp/239.77.0.171:5146
CCTV-7,http://14.118.74.55:10001/rtp/239.77.0.138:5146
CCTV-7,http://14.117.232.247:4022/rtp/239.77.0.138:5146
CCTV-7,http://59.35.152.62:8889/rtp/239.77.0.138:5146
CCTV-7,http://113.110.202.93:55555/rtp/239.77.1.167:5146
CCTV-7,http://113.110.202.93:55555/rtp/239.77.0.138:5146
CCTV-7,http://113.89.245.247:4200/rtp/239.77.1.159:5146
CCTV-7,http://113.102.83.19:4022/rtp/239.77.0.138:5146
CCTV-7,http://113.89.245.247:4200/rtp/239.77.1.167:5146
CCTV-7,http://14.117.232.247:4022/rtp/239.77.1.159:5146
CCTV-7,http://14.118.74.55:10001/rtp/239.77.1.159:5146
CCTV-7,http://113.89.245.247:4200/rtp/239.77.0.138:5146
CCTV-7,http://14.118.74.55:10001/rtp/239.77.1.167:5146
CCTV-7,http://59.35.152.62:8889/rtp/239.77.1.159:5146
CCTV-7,http://183.30.201.174:10002/rtp/239.77.1.159:5146
CCTV-7,http://113.101.244.40:10000/rtp/239.77.1.159:5146
CCTV-7,http://59.35.152.62:8889/rtp/239.77.1.167:5146
CCTV-7,http://183.7.146.16:8888/rtp/239.77.0.138:5146
CCTV-7,http://113.102.83.19:4022/rtp/239.77.1.159:5146
CCTV-7,http://113.102.83.19:4022/rtp/239.77.1.167:5146
CCTV-7,http://113.101.244.40:10000/rtp/239.77.0.138:5146
CCTV-7,http://113.78.253.186:8888/rtp/239.77.1.167:5146
CCTV-7,http://113.78.253.186:8888/rtp/239.77.0.138:5146
CCTV-7,http://113.110.202.93:55555/rtp/239.77.1.159:5146
CCTV-7,http://183.30.201.174:10002/rtp/239.77.1.167:5146
CCTV-7,http://113.101.244.40:10000/rtp/239.77.1.167:5146
CCTV-7,http://183.0.203.228:9999/rtp/239.77.1.167:5146
CCTV-7,http://113.78.253.186:8888/rtp/239.77.1.159:5146
CCTV-8,http://113.102.83.19:4022/rtp/239.77.0.172:5146
CCTV-8,http://59.35.152.62:8889/rtp/239.77.0.172:5146
CCTV-8,http://14.118.74.55:10001/rtp/239.77.0.172:5146
CCTV-8,http://113.110.202.93:55555/rtp/239.77.0.172:5146
CCTV-8,http://113.89.245.247:4200/rtp/239.77.0.181:5146
CCTV-8,http://14.118.74.55:10001/rtp/239.77.0.181:5146
CCTV-8,http://14.117.232.247:4022/rtp/239.77.0.172:5146
CCTV-8,http://14.117.232.247:4022/rtp/239.77.0.181:5146
CCTV-8,http://113.101.244.40:10000/rtp/239.77.0.172:5146
CCTV-8,http://59.35.152.62:8889/rtp/239.77.0.181:5146
CCTV-8,http://183.30.201.174:10002/rtp/239.77.0.172:5146
CCTV-8,http://113.110.202.93:55555/rtp/239.77.0.181:5146
CCTV-8,http://113.102.83.19:4022/rtp/239.77.0.181:5146
CCTV-8,http://113.89.245.247:4200/rtp/239.77.0.172:5146
CCTV-8,http://113.78.253.186:8888/rtp/239.77.0.181:5146
CCTV-8,http://113.101.244.40:10000/rtp/239.77.0.181:5146
CCTV-8,http://183.30.201.174:10002/rtp/239.77.0.181:5146
CCTV-8,http://183.0.203.228:9999/rtp/239.77.0.181:5146
CCTV-8,http://113.95.132.166:554/rtp/239.77.0.172:5146
CCTV-8,http://113.78.253.186:8888/rtp/239.77.0.172:5146
CCTV-8,http://183.31.11.209:8000/rtp/239.77.0.181:5146
CCTV-9,http://113.120.108.132:4000/udp/239.21.1.153:5002
CCTV-9,http://113.110.202.93:55555/rtp/239.77.1.160:5146
CCTV-9,http://113.110.202.93:55555/rtp/239.77.1.168:5146
CCTV-9,http://59.35.152.62:8889/rtp/239.77.0.135:5146
CCTV-9,http://113.102.83.19:4022/rtp/239.77.0.135:5146
CCTV-9,http://113.110.202.93:55555/rtp/239.77.0.135:5146
CCTV-9,http://113.89.245.247:4200/rtp/239.77.0.135:5146
CCTV-9,http://14.117.232.247:4022/rtp/239.77.1.168:5146
CCTV-9,http://59.35.152.62:8889/rtp/239.77.1.160:5146
CCTV-9,http://14.117.232.247:4022/rtp/239.77.1.160:5146
CCTV-9,http://113.89.245.247:4200/rtp/239.77.1.168:5146
CCTV-9,http://113.101.244.40:10000/rtp/239.77.0.135:5146
CCTV-9,http://14.118.74.55:10001/rtp/239.77.1.168:5146
CCTV-9,http://183.30.201.174:10002/rtp/239.77.1.168:5146
CCTV-9,http://59.35.152.62:8889/rtp/239.77.1.168:5146
CCTV-9,http://14.117.232.247:4022/rtp/239.77.0.135:5146
CCTV-9,http://14.118.74.55:10001/rtp/239.77.1.160:5146
CCTV-9,http://183.7.146.16:8888/rtp/239.77.1.168:5146
CCTV-9,http://113.89.245.247:4200/rtp/239.77.1.160:5146
CCTV-9,http://14.118.74.55:10001/rtp/239.77.0.135:5146
CCTV-9,http://183.7.146.16:8888/rtp/239.77.0.135:5146
CCTV-9,http://113.78.253.186:8888/rtp/239.77.1.168:5146
CCTV-9,http://113.78.253.186:8888/rtp/239.77.1.160:5146
CCTV-9,http://113.102.83.19:4022/rtp/239.77.1.160:5146
CCTV-9,http://113.101.244.40:10000/rtp/239.77.1.168:5146
CCTV-9,http://113.102.83.19:4022/rtp/239.77.1.168:5146
CCTV-9,http://113.101.244.40:10000/rtp/239.77.1.160:5146
CCTV-9,http://113.78.253.186:8888/rtp/239.77.0.135:5146
CCTV-9,http://183.0.203.228:9999/rtp/239.77.1.168:5146
